X,Y,Mag
4883400.82,652749.01,55093.2839
4883400.83,652749.11,55100.819
4883400.85,652749.21,55099.134
4883400.87,652749.31,55096.4545
4883400.88,652749.4,55098.5128
4883400.91,652749.51,55098.8424
4883400.93,652749.61,55097.6912
4883400.95,652749.71,55098.0429
4883400.97,652749.8,55098.4657
4883400.98,652749.9,55098.1809
4883400.99,652749.99,55098.212
4883401.01,652750.09,55098.4408
4883401.01,652750.18,55098.3381
4883401.02,652750.28,55098.1613
4883401.04,652750.38,55098.175
4883401.05,652750.49,55098.2769
4883401.05,652750.58,55098.3413
4883401.07,652750.68,55098.3144
4883401.08,652750.78,55098.2413
4883401.09,652750.88,55098.2342
4883401.11,652750.98,55098.2854
4883401.12,652751.08,55098.3185
4883401.13,652751.18,55098.331
4883401.15,652751.26,55098.322
4883401.17,652751.36,55098.2955
4883401.18,652751.45,55098.2993
4883401.21,652751.53,55098.3165
4883401.22,652751.63,55098.2745
4883401.24,652751.73,55098.1964
4883401.26,652751.81,55098.1858
4883401.27,652751.9,55098.2199
4883401.3,652752,55098.1671
4883401.32,652752.09,55098.0752
4883401.33,652752.2,55098.0816
4883401.36,652752.29,55098.102
4883401.4,652752.39,55098.0279
4883401.43,652752.51,55097.9648
4883401.46,652752.61,55097.9956
4883401.49,652752.72,55098.0253
4883401.52,652752.82,55097.9994
4883401.54,652752.94,55097.9987
4883401.58,652753.04,55098.0031
4883401.6,652753.15,55097.8879
4883401.63,652753.25,55097.7297
4883401.65,652753.37,55097.7074
4883401.68,652753.48,55097.7502
4883401.7,652753.58,55097.6909
4883401.73,652753.69,55097.6025
4883401.75,652753.8,55097.6307
4883401.77,652753.9,55097.7461
4883401.8,652754,55097.828
4883401.81,652754.09,55097.7861
4883401.83,652754.19,55097.6678
4883401.84,652754.27,55097.6068
4883401.85,652754.37,55097.6226
4883401.87,652754.47,55097.6607
4883401.88,652754.55,55097.6972
4883401.89,652754.65,55097.7159
4883401.91,652754.75,55097.7297
4883401.92,652754.85,55097.7854
4883401.94,652754.95,55097.8761
4883401.96,652755.06,55097.9596
4883401.96,652755.15,55098.0468
4883401.98,652755.26,55098.0841
4883402,652755.37,55097.9844
4883402.01,652755.48,55097.8954
4883402.02,652755.6,55097.9992
4883402.05,652755.7,55098.1802
4883402.06,652755.82,55098.2765
4883402.09,652755.91,55098.3312
4883402.1,652756.01,55098.3862
4883402.11,652756.11,55098.3775
4883402.14,652756.21,55098.331
4883402.15,652756.31,55098.3497
4883402.17,652756.41,55098.4394
4883402.19,652756.49,55098.5475
4883402.21,652756.59,55098.6439
4883402.24,652756.68,55098.7009
4883402.26,652756.77,55098.6983
4883402.29,652756.86,55098.7228
4883402.31,652756.96,55098.8971
4883402.34,652757.04,55099.135
4883402.36,652757.13,55099.2843
4883402.37,652757.23,55099.3623
4883402.4,652757.31,55099.3953
4883402.42,652757.41,55099.3995
4883402.45,652757.5,55099.4589
4883402.47,652757.59,55099.5692
4883402.48,652757.68,55099.6777
4883402.52,652757.78,55099.7811
4883402.54,652757.86,55099.8158
4883402.56,652757.96,55099.7669
4883402.57,652758.05,55099.7708
4883402.6,652758.14,55099.8316
4883402.62,652758.24,55099.8091
4883402.65,652758.32,55099.7502
4883402.67,652758.42,55099.7934
4883402.69,652758.52,55099.8824
4883402.72,652758.6,55099.9067
4883402.74,652758.7,55099.9076
4883402.75,652758.8,55099.9156
4883402.78,652758.89,55099.859
